District_Name,Fiscal_Year,Fund_Code,Object_Code,School_Code,Function_Code,Program_Code,Account_Name,Date,TransactionNo,Journal,Description,absolute_amount,Credit_Flag,amount
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,7/15/2019,5815,LABOR,Employee,"5,000.00",,5000
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,7/31/2019,5829,GJNLA,Reap Incentive Pay,"2,927.51",R,-2927.51
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,9/16/2019,5846,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,10/15/2019,5863,LABOR,Employee,"2,000.00",,2000
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,10/15/2019,5863,LABOR,Employee,"4,569.53",,4569.53
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,10/16/2019,5866,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,10/16/2019,5866,LABOR,Employee,"4,569.53",,4569.53
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,11/14/2019,5881,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,11/14/2019,5881,LABOR,Employee,"4,942.76",,4942.76
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,12/16/2019,5893,LABOR,Employee,"2,500.00",,2500
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,12/16/2019,5893,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,12/16/2019,5893,LABOR,Employee,"4,942.76",,4942.76
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,1/16/2020,5903,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,1/16/2020,5903,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,2/14/2020,5912,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,2/14/2020,5912,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,3/15/2020,5921,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,3/15/2020,5921,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,4/15/2020,5933,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,4/15/2020,5933,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,5/15/2020,5942,LABOR,Employee,"2,500.00",,2500
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,5/15/2020,5942,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,5/15/2020,5942,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/2/2020,5950,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/2/2020,5950,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/3/2020,5953,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/3/2020,5953,LABOR,Employee,"5,522.74",,5522.74
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/4/2020,5956,LABOR,Employee,"6,997.25",,6997.25
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/4/2020,5956,LABOR,Employee,"5,522.79",,5522.79
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/5/2020,5959,LABOR,Employee,"1,332.78",,1332.78
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/5/2020,5959,LABOR,Employee,"1,149.21",,1149.21
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/5/2020,5968,LABOR,Employee,"1,332.78",R,-1332.78
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/5/2020,5968,LABOR,Employee,"1,149.21",R,-1149.21
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/5/2020,5970,LABOR,Employee,"1,332.66",,1332.66
Aleutian Region School District,20,100,310,100,302,000,Certified Salaries,6/5/2020,5970,LABOR,Employee,"1,149.12",,1149.12
