District_Name,Fiscal_Year,Fund_Code,Object_Code,Function_Code,Program_Code,School_Code,Demo_Desc,Date,Post_Type,Source,Reference,Description,Units,Debit,Credit,Amount
Chugach School District,19,100,310,100,200,0,,10/31/2018,Actual,P/R,11,REDACTED,67.5,"3,276.25",,3276.25
Chugach School District,19,100,410,140,610,0,,11/1/2018,Actual,A/P,31-Oct,REDACTED,,241.61,,241.61
Chugach School District,19,100,610,0,0,0,,11/6/2018,Actual,A/P,64569,REDACTED,,,"2,445.40",-2445.4
Chugach School District,19,100,619,0,0,0,,2/11/2019,Actual,C/R,68970,REDACTED,,103.75,,103.75
Chugach School District,19,100,630,0,0,0,,2/11/2019,Actual,C/R,68970,REDACTED,,,103.75,-103.75
Chugach School District,19,100,619,0,0,0,,6/11/2019,Actual,C/R,69029,REDACTED,,549.99,,549.99
Chugach School District,19,100,630,0,0,0,,6/11/2019,Actual,C/R,69029,REDACTED,,,549.99,-549.99
Chugach School District,19,100,410,140,620,0,,8/9/2018,Actual,A/P,3-Aug,REDACTED,,546,,546
Chugach School District,19,100,410,140,620,0,,11/6/2018,Actual,A/P,30-Oct,REDACTED,,218,,218
Chugach School District,19,100,410,140,620,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,231.09,,231.09
Chugach School District,19,100,410,140,620,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,93.91,,93.91
Chugach School District,19,100,433,140,620,0,,8/9/2018,Actual,A/P,3-Aug,REDACTED,,94.99,,94.99
Chugach School District,19,100,433,140,620,0,,9/27/2018,Actual,A/P,10-Sep,REDACTED,,94.99,,94.99
Chugach School District,19,100,433,140,620,0,,11/6/2018,Actual,A/P,30-Oct,REDACTED,,189.98,,189.98
Chugach School District,19,100,450,140,620,0,,9/27/2018,Actual,A/P,10-Sep,REDACTED,,254.85,,254.85
Chugach School District,19,100,450,140,620,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,209.97,,209.97
Chugach School District,19,100,610,0,0,0,,8/10/2018,Actual,A/P,63671,REDACTED,,,640.99,-640.99
Chugach School District,19,100,610,0,0,0,,9/27/2018,Actual,A/P,64154,REDACTED,,,349.84,-349.84
Chugach School District,19,100,610,0,0,0,,11/6/2018,Actual,A/P,64567,REDACTED,,,407.98,-407.98
Chugach School District,19,100,610,0,0,0,,12/10/2018,Actual,A/P,64808,REDACTED,,,534.97,-534.97
Chugach School District,19,100,710,0,0,0,,8/9/2018,Actual,A/P,3-Aug,REDACTED,,,640.99,-640.99
Chugach School District,19,100,710,0,0,0,,8/10/2018,Actual,A/P,63671,REDACTED,,640.99,,640.99
Chugach School District,19,100,710,0,0,0,,9/27/2018,Actual,A/P,64154,REDACTED,,349.84,,349.84
Chugach School District,19,100,710,0,0,0,,9/27/2018,Actual,A/P,10-Sep,REDACTED,,,349.84,-349.84
Chugach School District,19,100,710,0,0,0,,11/6/2018,Actual,A/P,30-Oct,REDACTED,,,407.98,-407.98
Chugach School District,19,100,710,0,0,0,,11/6/2018,Actual,A/P,64567,REDACTED,,407.98,,407.98
Chugach School District,19,100,710,0,0,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,,534.97,-534.97
Chugach School District,19,100,710,0,0,0,,12/10/2018,Actual,A/P,64808,REDACTED,,534.97,,534.97
Chugach School District,19,100,410,140,620,0,,1/5/2019,Actual,A/P,12-Dec,REDACTED,,130,,130
Chugach School District,19,100,410,140,620,0,,1/21/2019,Actual,A/P,8-Dec,REDACTED,,400,,400
Chugach School District,19,100,410,140,620,0,,2/19/2019,Actual,A/P,6-Feb,REDACTED,,100,,100
Chugach School District,19,100,410,140,620,0,,4/2/2019,Actual,A/P,19-Mar,REDACTED,,310,,310
Chugach School District,19,100,410,140,620,0,,5/14/2019,Actual,A/P,7-May,REDACTED,,395,,395
Chugach School District,19,100,410,140,620,0,,6/12/2019,Actual,A/P,2-Jun,REDACTED,,700,,700
Chugach School District,19,100,433,140,620,0,,1/5/2019,Actual,A/P,12-Dec,REDACTED,,94.99,,94.99
Chugach School District,19,100,433,140,620,0,,2/19/2019,Actual,A/P,6-Feb,REDACTED,,189.98,,189.98
Chugach School District,19,100,433,140,620,0,,4/2/2019,Actual,A/P,19-Mar,REDACTED,,189.98,,189.98
Chugach School District,19,100,433,140,620,0,,5/14/2019,Actual,A/P,7-May,REDACTED,,94.99,,94.99
Chugach School District,19,100,450,140,620,0,,1/5/2019,Actual,A/P,12-Dec,REDACTED,,69.99,,69.99
Chugach School District,19,100,450,140,620,0,,4/2/2019,Actual,A/P,19-Mar,REDACTED,,210,,210
Chugach School District,19,100,610,0,0,0,,1/7/2019,Actual,A/P,65010,REDACTED,,,294.98,-294.98
Chugach School District,19,100,610,0,0,0,,1/21/2019,Actual,A/P,65139,REDACTED,,,400,-400
Chugach School District,19,100,610,0,0,0,,2/19/2019,Actual,A/P,65402,REDACTED,,,289.98,-289.98
Chugach School District,19,100,610,0,0,0,,4/2/2019,Actual,A/P,65680,REDACTED,,,709.98,-709.98
Chugach School District,19,100,610,0,0,0,,5/15/2019,Actual,A/P,66088,REDACTED,,,489.99,-489.99
Chugach School District,19,100,610,0,0,0,,6/12/2019,Actual,A/P,66277,REDACTED,,,700,-700
Chugach School District,19,100,710,0,0,0,,1/5/2019,Actual,A/P,12-Dec,REDACTED,,,294.98,-294.98
Chugach School District,19,100,710,0,0,0,,1/7/2019,Actual,A/P,65010,REDACTED,,294.98,,294.98
Chugach School District,19,100,710,0,0,0,,1/21/2019,Actual,A/P,8-Dec,REDACTED,,,400,-400
Chugach School District,19,100,710,0,0,0,,1/21/2019,Actual,A/P,65139,REDACTED,,400,,400
Chugach School District,19,100,710,0,0,0,,2/19/2019,Actual,A/P,6-Feb,REDACTED,,,289.98,-289.98
Chugach School District,19,100,710,0,0,0,,2/19/2019,Actual,A/P,65402,REDACTED,,289.98,,289.98
Chugach School District,19,100,710,0,0,0,,4/2/2019,Actual,A/P,19-Mar,REDACTED,,,709.98,-709.98
Chugach School District,19,100,710,0,0,0,,4/2/2019,Actual,A/P,65680,REDACTED,,709.98,,709.98
Chugach School District,19,100,710,0,0,0,,5/14/2019,Actual,A/P,7-May,REDACTED,,,489.99,-489.99
Chugach School District,19,100,710,0,0,0,,5/15/2019,Actual,A/P,66088,REDACTED,,489.99,,489.99
Chugach School District,19,100,710,0,0,0,,6/12/2019,Actual,A/P,66277,REDACTED,,700,,700
Chugach School District,19,100,710,0,0,0,,6/12/2019,Actual,A/P,2-Jun,REDACTED,,,700,-700
Chugach School District,19,100,40,0,100,0,,10/2/2018,Actual,C/R,66852,REDACTED,,,211.68,-211.68
Chugach School District,19,100,619,0,0,0,,10/2/2018,Actual,C/R,66852,REDACTED,,211.68,,211.68
Chugach School District,19,100,433,140,610,0,,4/30/2019,Actual,A/P,26-Apr,REDACTED,,375,,375
Chugach School District,19,100,610,0,0,0,,4/30/2019,Actual,A/P,65964,REDACTED,,,375,-375
Chugach School District,19,100,710,0,0,0,,4/30/2019,Actual,A/P,26-Apr,REDACTED,,,375,-375
Chugach School District,19,100,710,0,0,0,,4/30/2019,Actual,A/P,65964,REDACTED,,375,,375
Chugach School District,19,100,410,140,620,0,,1/25/2019,Actual,A/P,24-Dec,REDACTED,,635,,635
Chugach School District,19,100,433,140,620,0,,1/25/2019,Actual,A/P,24-Dec,REDACTED,,324.95,,324.95
Chugach School District,19,100,433,140,620,0,,6/12/2019,Actual,A/P,1-Jun,REDACTED,,296.5,,296.5
Chugach School District,19,100,450,140,620,0,,1/25/2019,Actual,A/P,24-Dec,REDACTED,,343.55,,343.55
Chugach School District,19,100,610,0,0,0,,1/25/2019,Actual,A/P,65170,REDACTED,,,"1,303.50",-1303.5
Chugach School District,19,100,610,0,0,0,,6/12/2019,Actual,A/P,66280,REDACTED,,,296.5,-296.5
Chugach School District,19,100,710,0,0,0,,1/25/2019,Actual,A/P,24-Dec,REDACTED,,,"1,303.50",-1303.5
Chugach School District,19,100,710,0,0,0,,1/25/2019,Actual,A/P,65170,REDACTED,,"1,303.50",,1303.5
Chugach School District,19,100,710,0,0,0,,6/12/2019,Actual,A/P,66280,REDACTED,,296.5,,296.5
Chugach School District,19,100,710,0,0,0,,6/12/2019,Actual,A/P,1-Jun,REDACTED,,,296.5,-296.5
Chugach School District,19,100,410,140,610,0,,10/29/2018,Actual,A/P,2018.119,REDACTED,,100,,100
Chugach School District,19,100,410,140,610,0,,10/24/2018,Actual,A/P,2018.116,REDACTED,,400,,400
Chugach School District,19,100,410,140,610,0,,1/25/2019,Actual,A/P,2018.114,REDACTED,,600,,600
Chugach School District,19,100,410,140,610,0,,10/19/2018,Actual,A/P,2018-112,REDACTED,,200,,200
Chugach School District,19,100,410,140,610,0,,10/29/2018,Actual,A/P,2018.113,REDACTED,,400,,400
Chugach School District,19,100,610,0,0,0,,3/15/2019,Actual,A/P,65611,REDACTED,,,277.25,-277.25
Chugach School District,19,100,610,0,0,0,,3/7/2019,Actual,A/P,65508,REDACTED,,,200,-200
Chugach School District,19,100,610,0,0,0,,4/26/2019,Actual,A/P,65923,REDACTED,,,177.25,-177.25
Chugach School District,19,100,410,140,610,0,,10/24/2018,Actual,A/P,2018.117,REDACTED,,200,,200
Chugach School District,19,100,450,140,610,0,,10/24/2018,Actual,A/P,2018.117,REDACTED,,70,,70
Chugach School District,19,100,450,140,610,0,,10/24/2018,Actual,A/P,2018.117,REDACTED,,7.25,,7.25
Chugach School District,19,100,710,0,0,0,,10/24/2018,Actual,A/P,2018.117,REDACTED,,,277.25,-277.25
Chugach School District,19,100,410,140,610,0,,10/24/2018,Actual,A/P,2018.118,REDACTED,,600,,600
Chugach School District,19,100,410,140,610,0,,11/1/2018,Actual,A/P,2018.124,REDACTED,,200,,200
Chugach School District,19,100,610,0,0,0,,2/19/2019,Actual,A/P,65403,REDACTED,,,568,-568
Chugach School District,19,100,410,140,610,0,,11/1/2018,Actual,A/P,2018.122,REDACTED,,200,,200
Chugach School District,19,100,420,550,300,0,,11/1/2018,Actual,A/P,365901,REDACTED,,125,,125
Chugach School District,19,100,710,0,0,0,,11/1/2018,Actual,A/P,365901,REDACTED,,,125,-125
Chugach School District,19,100,420,550,300,0,,11/1/2018,Actual,A/P,365939,REDACTED,,"1,885.00",,1885
Chugach School District,19,100,710,0,0,0,,11/1/2018,Actual,A/P,365939,REDACTED,,,"1,885.00",-1885
Chugach School District,19,100,420,550,300,0,,11/2/2018,Actual,A/P,365927,REDACTED,,"1,885.00",,1885
Chugach School District,19,100,710,0,0,0,,11/2/2018,Actual,A/P,365927,REDACTED,,,"1,885.00",-1885
Chugach School District,19,100,420,100,300,0,,3/6/2019,Actual,A/P,339570,REDACTED,,125,,125
Chugach School District,19,100,420,220,300,0,,3/6/2019,Actual,A/P,339570,REDACTED,,"2,660.00",,2660
Chugach School District,19,100,710,0,0,0,,3/6/2019,Actual,A/P,339570,REDACTED,,,"2,785.00",-2785
Chugach School District,19,100,420,400,620,0,,5/14/2019,Actual,A/P,3307125,REDACTED,,235.09,,235.09
Chugach School District,19,100,710,0,0,0,,5/14/2019,Actual,A/P,3307125,REDACTED,,,235.09,-235.09
Chugach School District,19,100,420,550,620,0,,9/7/2018,Actual,A/P,3298453/714,REDACTED,,309.89,,309.89
Chugach School District,19,100,710,0,0,0,,9/7/2018,Actual,A/P,3298453/714,REDACTED,,,309.89,-309.89
Chugach School District,19,100,610,0,0,0,,5/3/2019,Actual,A/P,66006,REDACTED,,,107.5,-107.5
Chugach School District,19,100,610,0,0,0,,6/10/2019,Actual,A/P,66198,REDACTED,,,500,-500
Chugach School District,19,100,660,0,0,0,,6/7/2019,Actual,A/P,594,REDACTED,,500,,500
Chugach School District,19,100,710,0,0,0,,6/7/2019,Actual,A/P,594,REDACTED,,,500,-500
Chugach School District,19,100,710,0,0,0,,6/10/2019,Actual,A/P,66198,REDACTED,,500,,500
Chugach School District,19,100,410,140,610,0,,6/5/2019,Actual,A/P,March-May,REDACTED,,420,,420
Chugach School District,19,100,610,0,0,0,,2/12/2019,Actual,A/P,65338,REDACTED,,,455,-455
Chugach School District,19,100,640,0,0,358,,12/31/2018,Actual,P/R,1,REDACTED,,"1,506.24",,1506.24
Chugach School District,19,100,640,0,0,358,,2/28/2019,Actual,P/R,3,REDACTED,,"4,291.04",,4291.04
Chugach School District,19,100,640,0,0,358,,3/31/2019,Actual,P/R,4,REDACTED,,"1,734.33",,1734.33
Chugach School District,19,100,640,0,0,358,,4/30/2019,Actual,P/R,5,REDACTED,,"1,894.21",,1894.21
Chugach School District,19,100,640,0,0,390,,12/31/2018,Actual,P/R,1,REDACTED,,167.36,,167.36
Chugach School District,19,100,640,0,0,390,,2/28/2019,Actual,P/R,3,REDACTED,,476.78,,476.78
Chugach School District,19,100,640,0,0,390,,3/31/2019,Actual,P/R,4,REDACTED,,192.71,,192.71
Chugach School District,19,100,640,0,0,390,,4/30/2019,Actual,P/R,5,REDACTED,,210.47,,210.47
Chugach School District,19,100,640,0,0,390,,5/31/2019,Actual,P/R,6,REDACTED,,291.82,,291.82
Chugach School District,19,100,640,0,0,390,,6/30/2019,Actual,P/R,7,REDACTED,,"4,219.83",,4219.83
Chugach School District,19,100,719,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,"1,177.09",-1177.09
Chugach School District,19,100,719,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,"3,184.44",-3184.44
Chugach School District,19,100,719,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,"1,343.05",-1343.05
Chugach School District,19,100,719,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,,"1,508.94",-1508.94
Chugach School District,19,100,719,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,,293.4,-293.4
Chugach School District,19,100,721,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,397.83,-397.83
Chugach School District,19,100,721,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,"1,144.80",-1144.8
Chugach School District,19,100,721,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,459.03,-459.03
Chugach School District,19,100,721,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,,520.2,-520.2
Chugach School District,19,100,721,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,,189.73,-189.73
Chugach School District,19,100,725,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,9.65,-9.65
Chugach School District,19,100,725,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,30.07,-30.07
Chugach School District,19,100,725,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,11.25,-11.25
Chugach School District,19,100,725,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,,13.66,-13.66
Chugach School District,19,100,725,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,,2.41,-2.41
Chugach School District,19,100,726,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,23.67,-23.67
Chugach School District,19,100,726,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,270.95,-270.95
Chugach School District,19,100,726,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,42.43,-42.43
Chugach School District,19,100,726,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,,61.2,-61.2
Chugach School District,19,100,727,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,727,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,727,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,727,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,727,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,729,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,38.46,-38.46
Chugach School District,19,100,729,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,110.66,-110.66
Chugach School District,19,100,729,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,44.38,-44.38
Chugach School District,19,100,729,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,,50.28,-50.28
Chugach School District,19,100,729,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,,8.88,-8.88
Chugach School District,19,100,730,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,,25.5,-25.5
Chugach School District,19,100,730,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,,25.5,-25.5
Chugach School District,19,100,730,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,,25.5,-25.5
Chugach School District,19,100,730,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,51,,51
Chugach School District,19,100,730,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,204,,204
Chugach School District,19,100,735,0,0,0,,12/31/2018,Actual,P/R,1,REDACTED,,,"1,673.60",-1673.6
Chugach School District,19,100,735,0,0,0,,1/10/2019,Actual,P/R,EFT,REDACTED,,"1,673.60",,1673.6
Chugach School District,19,100,735,0,0,0,,2/28/2019,Actual,P/R,3,REDACTED,,,"4,767.82",-4767.82
Chugach School District,19,100,735,0,0,0,,3/8/2019,Actual,P/R,EFT,REDACTED,,"4,767.82",,4767.82
Chugach School District,19,100,735,0,0,0,,3/31/2019,Actual,P/R,4,REDACTED,,,"1,927.04",-1927.04
Chugach School District,19,100,735,0,0,0,,4/10/2019,Actual,P/R,EFT,REDACTED,,"1,927.04",,1927.04
Chugach School District,19,100,735,0,0,0,,4/30/2019,Actual,P/R,5,REDACTED,,,"2,104.68",-2104.68
Chugach School District,19,100,735,0,0,0,,5/10/2019,Actual,P/R,EFT,REDACTED,,"2,104.68",,2104.68
Chugach School District,19,100,735,0,0,0,,5/31/2019,Actual,P/R,6,REDACTED,,,291.82,-291.82
Chugach School District,19,100,735,0,0,0,,6/10/2019,Actual,P/R,EFT,REDACTED,,291.82,,291.82
Chugach School District,19,100,735,0,0,0,,6/30/2019,Actual,P/R,7,REDACTED,,,"4,219.83",-4219.83
Chugach School District,19,358,320,350,552,0,,2/28/2019,Actual,P/R,3,REDACTED,57.6,"1,409.40",,1409.4
Chugach School District,19,358,320,350,553,0,,2/28/2019,Actual,P/R,3,REDACTED,,675,,675
Chugach School District,19,358,320,350,554,0,,12/31/2018,Actual,P/R,1,REDACTED,86.4,"1,193.47",,1193.47
Chugach School District,19,358,320,350,554,0,,2/28/2019,Actual,P/R,3,REDACTED,,675,,675
Chugach School District,19,358,320,350,554,0,,4/30/2019,Actual,P/R,5,REDACTED,118.8,"1,560.60",,1560.6
Chugach School District,19,358,320,350,555,0,,2/28/2019,Actual,P/R,3,REDACTED,,675,,675
Chugach School District,19,358,320,350,555,0,,3/31/2019,Actual,P/R,4,REDACTED,100.8,"1,377.07",,1377.07
Chugach School District,19,358,350,350,552,0,,2/28/2019,Actual,P/R,3,REDACTED,1.8,856.64,,856.64
Chugach School District,19,358,350,350,554,0,,12/31/2018,Actual,P/R,1,REDACTED,1.8,312.77,,312.77
Chugach School District,19,358,350,350,554,0,,4/30/2019,Actual,P/R,5,REDACTED,-3.6,333.61,,333.61
Chugach School District,19,358,350,350,555,0,,3/31/2019,Actual,P/R,4,REDACTED,1.8,357.26,,357.26
Chugach School District,19,358,640,0,0,100,,12/31/2018,Actual,P/R,1,REDACTED,,,"1,506.24",-1506.24
Chugach School District,19,358,640,0,0,100,,2/28/2019,Actual,P/R,3,REDACTED,,,"4,291.04",-4291.04
Chugach School District,19,358,640,0,0,100,,3/31/2019,Actual,P/R,4,REDACTED,,,"1,734.33",-1734.33
Chugach School District,19,358,640,0,0,100,,4/30/2019,Actual,P/R,5,REDACTED,,,"1,894.21",-1894.21
Chugach School District,19,390,320,350,540,0,,12/31/2018,Actual,P/R,1,REDACTED,9.6,132.61,,132.61
Chugach School District,19,390,320,350,540,0,,2/28/2019,Actual,P/R,3,REDACTED,6.4,381.6,,381.6
Chugach School District,19,390,320,350,540,0,,3/31/2019,Actual,P/R,4,REDACTED,11.2,153.01,,153.01
Chugach School District,19,390,320,350,540,0,,4/30/2019,Actual,P/R,5,REDACTED,13.2,173.4,,173.4
Chugach School District,19,390,320,350,540,0,,6/30/2019,Actual,P/R,7,REDACTED,-1,"3,395.44",,3395.44
Chugach School District,19,390,320,350,554,0,,5/31/2019,Actual,P/R,6,REDACTED,22,306,,306
Chugach School District,19,390,350,350,540,0,,12/31/2018,Actual,P/R,1,REDACTED,0.2,34.75,,34.75
Chugach School District,19,390,350,350,540,0,,2/28/2019,Actual,P/R,3,REDACTED,0.2,95.18,,95.18
Chugach School District,19,390,350,350,540,0,,3/31/2019,Actual,P/R,4,REDACTED,0.2,39.7,,39.7
Chugach School District,19,390,350,350,540,0,,4/30/2019,Actual,P/R,5,REDACTED,-0.4,37.07,,37.07
Chugach School District,19,390,350,350,540,0,,6/30/2019,Actual,P/R,7,REDACTED,,824.39,,824.39
Chugach School District,19,390,350,350,554,0,,5/31/2019,Actual,P/R,6,REDACTED,-16,,14.18,-14.18
Chugach School District,19,390,640,0,0,100,,12/31/2018,Actual,P/R,1,REDACTED,,,167.36,-167.36
Chugach School District,19,390,640,0,0,100,,2/28/2019,Actual,P/R,3,REDACTED,,,476.78,-476.78
Chugach School District,19,390,640,0,0,100,,3/31/2019,Actual,P/R,4,REDACTED,,,192.71,-192.71
Chugach School District,19,390,640,0,0,100,,4/30/2019,Actual,P/R,5,REDACTED,,,210.47,-210.47
Chugach School District,19,390,640,0,0,100,,5/31/2019,Actual,P/R,6,REDACTED,,,291.82,-291.82
Chugach School District,19,390,640,0,0,100,,6/30/2019,Actual,P/R,7,REDACTED,,,"4,219.83",-4219.83
Chugach School District,19,100,640,0,0,358,,1/31/2019,Actual,P/R,2,REDACTED,,"1,392.18",,1392.18
Chugach School District,19,100,640,0,0,390,,1/31/2019,Actual,P/R,2,REDACTED,,154.69,,154.69
Chugach School District,19,100,719,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,"1,094.12",-1094.12
Chugach School District,19,100,721,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,367.23,-367.23
Chugach School District,19,100,725,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,8.84,-8.84
Chugach School District,19,100,726,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,14.28,-14.28
Chugach School District,19,100,727,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,729,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,35.5,-35.5
Chugach School District,19,100,730,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,,25.5,-25.5
Chugach School District,19,100,735,0,0,0,,1/31/2019,Actual,P/R,2,REDACTED,,,"1,546.87",-1546.87
Chugach School District,19,100,735,0,0,0,,2/10/2019,Actual,P/R,EFT,REDACTED,,"1,546.87",,1546.87
Chugach School District,19,358,320,350,555,0,,1/31/2019,Actual,P/R,2,REDACTED,79.2,"1,101.67",,1101.67
Chugach School District,19,358,350,350,555,0,,1/31/2019,Actual,P/R,2,REDACTED,1.8,290.51,,290.51
Chugach School District,19,358,640,0,0,100,,1/31/2019,Actual,P/R,2,REDACTED,,,"1,392.18",-1392.18
Chugach School District,19,390,320,350,540,0,,1/31/2019,Actual,P/R,2,REDACTED,8.8,122.41,,122.41
Chugach School District,19,390,350,350,540,0,,1/31/2019,Actual,P/R,2,REDACTED,0.2,32.28,,32.28
Chugach School District,19,390,640,0,0,100,,1/31/2019,Actual,P/R,2,REDACTED,,,154.69,-154.69
Chugach School District,19,100,640,0,0,358,,10/31/2018,Actual,P/R,11,REDACTED,,"1,734.24",,1734.24
Chugach School District,19,100,640,0,0,358,,11/30/2018,Actual,P/R,12,REDACTED,,"1,392.09",,1392.09
Chugach School District,19,100,640,0,0,390,,10/31/2018,Actual,P/R,11,REDACTED,,192.69,,192.69
Chugach School District,19,100,640,0,0,390,,11/30/2018,Actual,P/R,12,REDACTED,,154.68,,154.68
Chugach School District,19,100,719,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,"1,340.91",-1340.91
Chugach School District,19,100,719,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,"1,091.97",-1091.97
Chugach School District,19,100,721,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,459,-459
Chugach School District,19,100,721,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,367.2,-367.2
Chugach School District,19,100,725,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,11.25,-11.25
Chugach School District,19,100,725,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,8.84,-8.84
Chugach School District,19,100,726,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,44.51,-44.51
Chugach School District,19,100,726,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,16.36,-16.36
Chugach School District,19,100,727,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,727,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,1.4,-1.4
Chugach School District,19,100,729,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,44.36,-44.36
Chugach School District,19,100,729,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,35.5,-35.5
Chugach School District,19,100,730,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,,25.5,-25.5
Chugach School District,19,100,730,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,,25.5,-25.5
Chugach School District,19,100,735,0,0,0,,10/31/2018,Actual,P/R,11,REDACTED,,,"1,926.93",-1926.93
Chugach School District,19,100,735,0,0,0,,11/9/2018,Actual,P/R,EFT,REDACTED,,"1,926.93",,1926.93
Chugach School District,19,100,735,0,0,0,,11/30/2018,Actual,P/R,12,REDACTED,,,"1,546.77",-1546.77
Chugach School District,19,100,735,0,0,0,,12/10/2018,Actual,P/R,EFT,REDACTED,,"1,546.77",,1546.77
Chugach School District,19,358,320,350,553,0,,11/30/2018,Actual,P/R,12,REDACTED,79.2,"1,101.60",,1101.6
Chugach School District,19,358,320,350,554,0,,10/31/2018,Actual,P/R,11,REDACTED,100.8,"1,377.00",,1377
Chugach School District,19,358,350,350,553,0,,11/30/2018,Actual,P/R,12,REDACTED,1.8,290.49,,290.49
Chugach School District,19,358,350,350,554,0,,10/31/2018,Actual,P/R,11,REDACTED,1.8,357.24,,357.24
Chugach School District,19,358,640,0,0,100,,10/31/2018,Actual,P/R,11,REDACTED,,,"1,734.24",-1734.24
Chugach School District,19,358,640,0,0,100,,11/30/2018,Actual,P/R,12,REDACTED,,,"1,392.09",-1392.09
Chugach School District,19,390,320,350,540,0,,10/31/2018,Actual,P/R,11,REDACTED,11.2,153,,153
Chugach School District,19,390,320,350,540,0,,11/30/2018,Actual,P/R,12,REDACTED,8.8,122.4,,122.4
Chugach School District,19,390,350,350,540,0,,10/31/2018,Actual,P/R,11,REDACTED,0.2,39.69,,39.69
Chugach School District,19,390,350,350,540,0,,11/30/2018,Actual,P/R,12,REDACTED,0.2,32.28,,32.28
Chugach School District,19,390,640,0,0,100,,10/31/2018,Actual,P/R,11,REDACTED,,,192.69,-192.69
Chugach School District,19,390,640,0,0,100,,11/30/2018,Actual,P/R,12,REDACTED,,,154.68,-154.68
Chugach School District,19,100,640,0,0,358,,12/31/2018,Actual,P/R,1,REDACTED,,"3,167.40",,3167.4
